Category,Header,Copy Content
BREAKFAST ENTREES,FAMILY STYLE BREAKFAST,"The Family Style Breakfast can serve 10-20 people. It includes scrambled eggs and your choice between pancakes or french toast, bacon or sausage, and hashbrowns or homefried potatoes."
BREAKFAST ENTREES,Breakfast Burritos,"Scrambled eggs, bacon, cheddar cheese, home fries and avocado wrapped in a flour tortilla. Served with salsa fresca and salsa verde. Small and large box options available."
BREAKFAST ENTREES,VEGETARIAN BREAKFAST BURRITOS,"Scrambled eggs, cheddar cheese, home fries and avocado wrapped in a flour tortilla. Served with salsa fresca and salsa verde. Small and large box options available.‍"
BREAKFAST ENTREES,Chorizo Burritos,"Two eggs scrambled with spicy chorizo, home fries and cheddar cheese wrapped in a flour tortilla. Served with salsa fresca and salsa verde. Small and large box options available."
BREAKFAST ENTREES,Ranchero Scramble,"Home fried potatoes sautéed with chorizo, fresh chopped serrano peppers and onions. Topped with Jack cheese, scrambled eggs, avocado, red onion, cilantro and ranchero sauce. Small and large box options available."
BREAKFAST ENTREES,Spicy Vegan Scramble,"Plant based JUST EGG™ scrambled with spinach, mushroom, onion, green and red bell pepper over home fries potatoes and topped with plant based BEYOND SAUSAGE® hot Italian link, avocado and sriracha. Serves 10."
BREAKFAST TRAYS,SCRAMBLED EGGS TRAY,Scrambled eggs tray serves up to 10 people.
BREAKFAST TRAYS,APPLEWOOD BACON TRAY,Applewood bacon tray serves up to 10 people.
BREAKFAST TRAYS,SAUSAGE LINKS TRAY,Sausage links tray serves up to 10 people.
BREAKFAST TRAYS,HASHBROWNS TRAY,Hash browns tray serves up to 10 people.‍
BREAKFAST TRAYS,HOMEFRIES TRAY,Home fries tray serves up to 10 people.
BREAKFAST TRAYS,MINI BLUEBERRY MUFFINS TRAY,Mini blueberry muffin tray serves up to 10 people. Contains 24 muffins.
BREAKFAST TRAYS,PANCAKES TRAY,Pancakes tray serves up to 10 people.‍
BREAKFAST TRAYS,WAFFLES TRAY,Waffles tray serves up to 10 people. Waffles are served in quarters.
BREAKFAST TRAYS,FRENCH TOAST TRAY,"French Toast tray is srved in halfs, and serves up to 10 people."
BREAKFAST TRAYS,PARFAITS,"Vanilla yogurt layered with granola, strawberries and blueberries. Tray serves 10 people and has 10 individual cups."
BREAKFAST TRAYS,FRUIT TRAY,A medley of seasonal fruit. Tray serves up to 10 people.
SANDWICHES & WRAPS,Turkey Wrap,"Sliced turkey breast, Jack cheese, lettuce, tomato and avocado wrapped in a spinach tortilla. Small and large box options available."
SANDWICHES & WRAPS,TURKEY CROISSANT SANDWICH,"Butter croissant filled with sliced turkey breast, applewood smoked bacon, Jack cheese, avocado, lettuce and tomato. Served with mayonnaise and Dijon mustard on the side. Small and large box options available."
SANDWICHES & WRAPS,Monte Cristo,Grilled brioche French toast sandwich with sliced ham and Swiss cheese. Served with raspberry sauce. Small and large box options available.
SANDWICHES & WRAPS,Breakfast Croissant Sandwich,"Two eggs scrambled with cheddar cheese and choice of bacon, ham or sausage patty. Served with chipotle mayo on the side. Small and larhe box options available."
SALADS,Caesar Salad,"Romaine lettuce, tomato, parmesan cheese and croutons. Served with Caesar dressing. Small and large box options available."
SALADS,Very Berry Salad,"Mixed greens, strawberries, blueberries, sliced almonds and goat cheese. Served with fat-free raspberry vinaigrette. Small and large box options available."
SALADS,Greek Salad,"Romaine lettuce, tomato, kalamata olives, red onion, red and green bell pepper and feta cheese. Served with balsamic vinaigrette. Small and large box options available."
BEVERAGES,COFFEE TRAVELER,Our 96oz coffee traveler serves 12 - 8oz cups. Cream and sweeteners provided.‍
BEVERAGES,COFFEE TRAVELER - DECAF,Our 96oz coffee traveler serves 12 - 8oz cups. Cream and sweeteners provided.
BEVERAGES,HOT CHOCOLATE TRAVELER,Our 96oz hot chocolate traveler serves 12 - 8oz cups.‍
BEVERAGES,GALLON ORANGE JUICE,1 gallon of our fresh orange juice serves 16 - 8oz cups.‍
