Category,Item Name,Range,Calories,Calories from Fat,Total Fat (g),Sat Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Dietary Fiber (g),Sugar (g),Protein (g),,
Breakfast Specials,Special 1 - Two Eggs,Low Range,750,250,28,12,"0,5",415,770,96,10,8,29,,
Breakfast Specials,Special 1 - Two Eggs,High Range,1130,530,59,25,"0,5",465,1480,108,6,2,41,,
Breakfast Specials,Special 2 - Pancakes,Low Range,700,300,33,16,"0,5",425,1340,75,2,13,24,,
Breakfast Specials,Special 2 - Pancakes,High Range,1030,580,65,29,"0,5",475,1990,75,2,13,34,,
Breakfast Specials,Special 3 - French Toast,Low Range,700,270,30,14,0,445,730,79,5,17,34,,
Breakfast Specials,Special 3 - French Toast,High Range,1000,530,59,24,0,495,1380,79,5,7,34,,
Breakfast Specials,Special 4 - Biscuits & Gravy,Low Range (v1),1160,450,50,21,1,460,2750,135,4,25,44,,
Breakfast Specials,Special 4 - Biscuits & Gravy,High Range (v1),1190,480,53,24,1,460,2750,135,4,25,44,,
Breakfast Specials,Special 4 - Biscuits & Gravy,Low Range (v2),820,380,43,16,0,425,1140,68,15,2,42,,
Breakfast Specials,Special 4 - Biscuits & Gravy,High Range (v2),890,420,47,18,0,425,1710,71,12,4,44,,
Breakfast Specials,Iron Man Challenge,,3860,1940,215,104,1,2550,10040,315,22,49,182,,
BREAKFAST ENTREES,CHORIZO BURRITOS,,7790,3630,403,180,0,2890,12940,674,55,37,346,,
BREAKFAST ENTREES,Ranchero Scramble,,3650,2380,265,115,7,1950,4710,204,39,31,149,,
BREAKFAST ENTREES,Spicy Vegan Scramble,,3270,1920,213,59,0,0,5330,197,43,39,140,,
Breakfast Trays,Scrambled Eggs Tray,,1860,1220,136,60,0,4100,1570,8,0,4,139,,
Breakfast Trays,Applewood Bacon Tray,,590,450,50,20,0,100,1300,0,0,0,20,,
Breakfast Trays,Sausage Links Tray,,3600,3060,340,120,0,600,7800,0,0,0,120,,
Breakfast Trays,Hashbrowns Tray,,2040,1010,111,45,0,0,60,241,22,11,21,,
Breakfast Trays,Homefries Tray,,3010,1020,112,46,0,0,115,468,42,21,40,,
Breakfast Trays,Mini Blueberry Muffins Tray,,4470,2460,273,105,0,655,3760,449,10,255,31,,
Breakfast Trays,Pancakes Tray,,5510,2140,238,169,0,600,7550,801,9,372,44,,
Breakfast Trays,Waffles Tray,,4400,2240,250,175,1,795,3280,527,2,331,12,,
Breakfast Trays,French Toast Tray,,5220,2530,282,191,0,1680,3670,607,9,336,56,,
Breakfast Trays,Parfaits,,3320,270,30,4.5,0,150,1480,500,35,327,237,,
Breakfast Trays,Fruit Tray,,960,30,3.5,0.5,0,0,190,243,27,200,17,,
Sandwiches & Wraps,Monte Cristo,,4120,1810,202,102,0,2040,6780,303,14,98,271,,
Sandwiches & Wraps,Turkey Croissant Sandwich,,5520,3540,393,147,0,805,11680,296,43,50,240,,
Sandwiches & Wraps,Breakfast Croissant Sandwich,,780,350,39,19,0,440,2170,69,2,3,41,,
Catering - Family Style,Scrambled Eggs (1/2 Cup),,190,120,14,6,0,410,160,1,0,0,14,,
Catering - Family Style,Fresh Fruit (1/2 Cup),,80,10,0,0,0,0,20,20,1,17,1,,
Catering - Family Style,Bacon (2 Slices),,60,60,5,2,0,10,140,0,0,0,2,,
Catering - Family Style,Pancake Syrup (1),,170,0,0,0,0,0,40,43,0,31,0,,
Catering - Family Style,French Toast (1 Slice),,300,120,13,7,0,215,290,33,2,3,11,,
Catering - Family Style,Buttermilk Pancakes (1 each),,320,150,17,10,"0,5",40,540,37,1,6,5,,
Catering - Family Style,Butter Chip (1 each),,100,100,11,8,0,30,90,0,0,0,0,,
Catering - Family Style,Belgian Waffle (1/2 each),,130,50,6,3,0,40,215,16,0,0,2,,
Catering - Platters,Veggie Sandwich (Wheat) (1/2),,280,180,19,8,0,33,232,6,4,1,11,,
Catering - Platters,Veggie Sandwich (Sourdough) (1/2),,300,180,20,8,0,33,500,36,5,1,17,,
Catering - Platters,Veggie Sandwich (White) (1/2),,290,180,19,8,0,33,590,35,5,2,16,,
Catering - Platters,Club Sandwich (Wheat) (1/2),,320,60,6,2,0,50,1300,44,4,8,26,,
Catering - Platters,Club Sandwich (Sourdough) (1/2),,360,60,6,2,0,50,1340,52,2,2,26,,
Catering - Platters,Club Sandwich (White) (1/2),,350,50,5,1,0,50,1740,51,2,4,25,,
Catering - Platters,Turkey (Rye) (1/2),,400,190,21,6,0,60,1140,35,2,4,23,,
Catering - Platters,Turkey (Sourdough) (1/2),,400,170,19,6,0,60,1100,36,1,2,24,,
Catering - Platters,Turkey (White) (1/2),,390,170,19,6,0,60,1190,35,1,3,23,,
Catering - Platters,Turkey (Wheat) (1/2),,370,180,20,6,0,60,1070,30,3,5,23,,
Catering - Platters,Turkey Wrap (1/2),,350,135,15,"4,5",0,40,1090,36,5,3,21,,
Catering - Platters,Veggie Wrap (1/2),,240,100,11,"2,4",0,0,390,31,5,1,6,,
Catering - Platters,VEGETARIAN BREAKFAST BURRITOS (1/2),,554,261.5,29,12,0.06,219,628,52,6.3,0.7,21.42,,
Catering - Platters,Breakfast Burrito (1/2),,600,290,32,13,0,225,770,52,6,1,24,,
Catering - Platters,Blueberry Muffins (1 Mini),,140,60,7,1,0,15,120,19,0,11,1,,
Catering - Platters,Berry Parfait Cup,,300,40,4,"1,5",0,5,140,58,2,33,8,,
Catering - Platters,Fresh Fruit Bowl (1/2 Cup),,80,5,0,0,0,0,15,20,1,17,1,,
Catering - Platters,Very Berry (Small),,1780,1400,156,27,0,50,1160,90,9,73,26,,
Catering - Platters,Very Berry (Large),,3560,2810,312,54,0,100,2290,180,18,146,51,,
Catering - Platters,Greek Salad (Small),,1150,840,93,23,"0,5",40,3810,67,18,36,24,,
Catering - Platters,Greek Salad (Large),,2310,1670,186,47,1,80,7620,138,38,74,50,,
Catering - Platters,Chicken Caesar (Small),,2500,1370,152,33,"0,5",665,4290,47,14,16,238,,
Catering - Platters,Chicken Caesar (Large),,4750,2690,299,64,2,1185,8450,98,30,34,425,,
Catering - Platters,Add Chicken (Small),,1120,220,24,7,0,580,500,0,0,0,211,,
Catering - Platters,Add Chicken (Large),,1960,380,43,12,0,580,880,0,0,0,369,,
Catering - Beverages,Coffee (1 Cup),,0,0,0,0,0,0,0,0,0,0,0,,
Catering - Beverages,Cocoa Cola (12 fl oz),,140,0,0,0,0,0,50,39,0,39,0,,
Catering - Beverages,Diet Cocoa Cola (12 fl oz),,0,0,0,0,0,0,40,0,0,0,0,,
Catering - Beverages,Hot Cocoa (8 fl oz),,240,35,4,3,0,0,220,49,0,43,0,,
Catering - Beverages,Orange Juice (8 fl oz),,110,0,0,0,0,0,0,26,0,21,2,,
Catering - Beverages,Sprite (12 fl oz),,140,0,0,0,0,0,70,38,0,38,0,,
Healthy Side Up,Spicy Vegan Bowl,,900,546,61,16,0,0,1335,54,14,10,36,,
Healthy Side Up,Wellness Wrap (no sides),,550,170,19,11,0,30,1470,58,4,4,33,,
Healthy Side Up,Avocado Toast,,500,300,33,3,0,0,420,50,17,5,10,,
Healthy Side Up,Feta Avocado Toast,,660,350,389,9,0,20,750,68,18,22,16,,
Healthy Side Up,Add Two Poached Eggs,,140,90,10,3,0,370,140,1,0,0,13,,
Healthy Side Up,Steel Cut Oats,,520,170,19,2,0,0,15,78,10,34,14,,
Healthy Side Up,Acai Bowl,,650,120,13,5,0,0,230,137,13,81,6,,
Healthy Side Up,Smoke Salmon Avocado Toast,,620,260,29,6,0,60,1960,,10,4,34,,
Healthy Side Up,Berry Yogurt Parfait,,500,70,8,2,0,5,200,96,7,50,12,,
South of the Border,Huevos Rancheros (no tortillas),,650,230,26,9,0,375,990,75,16,5,30,,
South of the Border,Huevos Con Chorizo (no tortillas),,760,380,42,16,0,425,1510,53,11,3,41,,
South of the Border,Machaca (no tortillas),,750,270,30,11,0,450,1220,63,13,9,56,,
South of the Border,Chilaquiles Bowl Red Sauce & Shredded Chicken,,1680,830,92,34,0,58,1860,130,10,11,84,,
South of the Border,Chilaquiles Bowl Red Sauce & Carne Asada,,1740,920,102,39,1,590,1870,130,10,11,80,,
South of the Border,Chilaquiles Bowl Green Sauce & Shredded Chicken,,1790,830,92,34,0,580,2040,150,17,26,92,,
South of the Border,Chilaquiles Bowl Green Sauce & Carne Asada,,1850,920,102,39,1,590,2050,150,17,26,88,,
South of the Border,California Breakfast Burrito,,1480,600,67,28,0,465,2200,159,21,4,63,,
South of the Border,Fiesta Burrito,,1370,570,64,29,0,525,2080,120,16,18,76,,
South of the Border,Baja Breakfast Tacos,,1060,500,56,18,0,425,1720,96,23,5,47,,
Two Eggs,Two Eggs Plus - Scrambled or Fried,,170,110,12,5,0,370,140,1,0,0,13,,
Two Eggs,Two Eggs Plus - Boiled or Poached,,140,90,10,3,0,370,140,1,0,0,13,,
Two Eggs,Two Eggs Plus...,,143,86,10,4,0.04,372,142,0.7,0,0.4,13,,
