CATEGORY,INPUT_COUNT,UAT_COUNT,NUTRITION_INPUT_COUNT,NUTRITION_UAT_COUNT,STATUS
HEALTHY SIDE UP!,,8,,,MATCH
BREAKFAST CLASSICS,,11,,,MATCH
OMELETS & BENEDICTS,,15,,,MATCH
SOUTH OF THE BORDER,,6,,,MATCH
PANCAKES & WAFFLES,,7,,,MISMATCH
FRENCH TOAST & CREPES,,6,,,MATCH
LUNCH,,14,,,MATCH
BEVERAGES,,24,,,MISMATCH
BEVERAGES,,24,,,MISMATCH
BEVERAGES,,24,,,MISMATCH
BEVERAGES,,24,,,MISMATCH
BEVERAGES,,24,,,MISMATCH
BEVERAGES,,24,,,MISMATCH
BEVERAGES,,24,,,MISMATCH
BEVERAGES,,24,,,MISMATCH
BEVERAGES,,24,,,MISMATCH
BEVERAGES,,24,,,MISMATCH
BEVERAGES,,24,,,MISMATCH
BEVERAGES,,24,,,MISMATCH
BEVERAGES,,24,,,MISMATCH
BEVERAGES,,24,,,MISMATCH
BEVERAGES,,24,,,MISMATCH
BEVERAGES,,24,,,MISMATCH
BEVERAGES,,24,,,MISMATCH
BEVERAGES,,24,,,MISMATCH
BEVERAGES,,24,,,MISMATCH
