CATEGORY,INPUT_COUNT,UAT_COUNT,NUTRITION_INPUT_COUNT,NUTRITION_UAT_COUNT,STATUS
BREAKFAST SPECIALS,,0,,,MISMATCH
BREAKFAST SPECIALS,,0,,,MISMATCH
BREAKFAST SPECIALS,,0,,,MISMATCH
BREAKFAST SPECIALS,,0,,,MISMATCH
BREAKFAST SPECIALS,,0,,,MISMATCH
BREAKFAST SPECIALS,,0,,,MISMATCH
BREAKFAST SPECIALS,,0,,,MISMATCH
BREAKFAST SPECIALS,,0,,,MISMATCH
BREAKFAST SPECIALS,,0,,,MISMATCH
BREAKFAST SPECIALS,,0,,,MISMATCH
BREAKFAST SPECIALS,,0,,,MISMATCH
BREAKFAST ENTREES,,0,,,MISMATCH
BREAKFAST ENTREES,,0,,,MISMATCH
BREAKFAST ENTREES,,0,,,MISMATCH
BREAKFAST TRAYS,,0,,,MISMATCH
BREAKFAST TRAYS,,0,,,MISMATCH
BREAKFAST TRAYS,,0,,,MISMATCH
BREAKFAST TRAYS,,0,,,MISMATCH
BREAKFAST TRAYS,,0,,,MISMATCH
BREAKFAST TRAYS,,0,,,MISMATCH
BREAKFAST TRAYS,,0,,,MISMATCH
BREAKFAST TRAYS,,0,,,MISMATCH
BREAKFAST TRAYS,,0,,,MISMATCH
BREAKFAST TRAYS,,0,,,MISMATCH
BREAKFAST TRAYS,,0,,,MISMATCH
SANDWICHES & WRAPS,,0,,,MISMATCH
SANDWICHES & WRAPS,,0,,,MISMATCH
SANDWICHES & WRAPS,,0,,,MISMATCH
CATERING FAMILY STYLE,,0,,,MISMATCH
CATERING FAMILY STYLE,,0,,,MISMATCH
CATERING FAMILY STYLE,,0,,,MISMATCH
CATERING FAMILY STYLE,,0,,,MISMATCH
CATERING FAMILY STYLE,,0,,,MISMATCH
CATERING FAMILY STYLE,,0,,,MISMATCH
CATERING FAMILY STYLE,,0,,,MISMATCH
CATERING FAMILY STYLE,,0,,,MISMATCH
CATERING PLATTERS,,0,,,MISMATCH
