EXPECTED_CATEGORY,MENU_ITEM,DETECTED_CARD_TITLE,NUTRITION_INFO_STATUS,NUTRITION_MISMATCH,NUTRITION_SCREENSHOT
Breakfast Specials,Special 1 - Two Eggs,SPECIAL 1 two eggs LOW RANGE*,VARIANT_MATCH,,./output/nutrition-info/screenshots/nutrition/Special_1_Two_Eggs_nutrition.png
Breakfast Specials,Special 1 - Two Eggs,SPECIAL 1 two eggs LOW RANGE*,VARIANT_MISMATCH,Calories: INPUT=1130 | UAT=750 || Calories from Fat: INPUT=530 | UAT=250 || Total Fat (g): INPUT=59 | UAT=28 || Sat Fat (g): INPUT=25 | UAT=12 || Cholest. (mg): INPUT=465 | UAT=415 || Sodium (mg): INPUT=1480 | UAT=770 || Carbs (g): INPUT=108 | UAT=96 || Dietary Fiber (g): INPUT=6 | UAT=10 || Sugar (g): INPUT=2 | UAT=8 || Protein (g): INPUT=41 | UAT=29,./output/nutrition-info/screenshots/nutrition/Special_1_Two_Eggs_nutrition.png
Breakfast Specials,Special 2 - Pancakes,SPECIAL 2 pancakes LOW RANGE*,VARIANT_MATCH,,./output/nutrition-info/screenshots/nutrition/Special_2_Pancakes_nutrition.png
Breakfast Specials,Special 2 - Pancakes,SPECIAL 2 pancakes LOW RANGE*,VARIANT_MISMATCH,Calories: INPUT=1030 | UAT=700 || Calories from Fat: INPUT=580 | UAT=300 || Total Fat (g): INPUT=65 | UAT=33 || Sat Fat (g): INPUT=29 | UAT=16 || Cholest. (mg): INPUT=475 | UAT=425 || Sodium (mg): INPUT=1990 | UAT=1340 || Protein (g): INPUT=34 | UAT=24,./output/nutrition-info/screenshots/nutrition/Special_2_Pancakes_nutrition.png
Breakfast Specials,Special 3 - French Toast,SPECIAL 3 french toast LOW RANGE,VARIANT_MATCH,,./output/nutrition-info/screenshots/nutrition/Special_3_French_Toast_nutrition.png
Breakfast Specials,Special 3 - French Toast,SPECIAL 3 french toast LOW RANGE,VARIANT_MISMATCH,Calories: INPUT=1000 | UAT=700 || Calories from Fat: INPUT=530 | UAT=270 || Total Fat (g): INPUT=59 | UAT=30 || Sat Fat (g): INPUT=24 | UAT=14 || Cholest. (mg): INPUT=495 | UAT=445 || Sodium (mg): INPUT=1380 | UAT=730 || Sugar (g): INPUT=7 | UAT=17,./output/nutrition-info/screenshots/nutrition/Special_3_French_Toast_nutrition.png
Breakfast Specials,Special 4 - Biscuits & Gravy,SPECIAL 4 Biscuits & Gravy LOW RANGE*,VARIANT_MATCH,,./output/nutrition-info/screenshots/nutrition/Special_4_Biscuits_and_Gravy_nutrition.png
Breakfast Specials,Special 4 - Biscuits & Gravy,SPECIAL 4 Biscuits & Gravy LOW RANGE*,VARIANT_MISMATCH,Calories: INPUT=1190 | UAT=1160 || Calories from Fat: INPUT=480 | UAT=450 || Total Fat (g): INPUT=53 | UAT=50 || Sat Fat (g): INPUT=24 | UAT=21,./output/nutrition-info/screenshots/nutrition/Special_4_Biscuits_and_Gravy_nutrition.png
Breakfast Specials,Special 4 - Biscuits & Gravy,SPECIAL 4 Biscuits & Gravy LOW RANGE*,VARIANT_MISMATCH,Calories: INPUT=820 | UAT=1160 || Calories from Fat: INPUT=380 | UAT=450 || Total Fat (g): INPUT=43 | UAT=50 || Sat Fat (g): INPUT=16 | UAT=21 || Trans Fat (g): INPUT=0 | UAT=1 || Cholest. (mg): INPUT=425 | UAT=460 || Sodium (mg): INPUT=1140 | UAT=2750 || Carbs (g): INPUT=68 | UAT=135 || Dietary Fiber (g): INPUT=15 | UAT=4 || Sugar (g): INPUT=2 | UAT=25 || Protein (g): INPUT=42 | UAT=44,./output/nutrition-info/screenshots/nutrition/Special_4_Biscuits_and_Gravy_nutrition.png
Breakfast Specials,Special 4 - Biscuits & Gravy,SPECIAL 4 Biscuits & Gravy LOW RANGE*,VARIANT_MISMATCH,Calories: INPUT=890 | UAT=1160 || Calories from Fat: INPUT=420 | UAT=450 || Total Fat (g): INPUT=47 | UAT=50 || Sat Fat (g): INPUT=18 | UAT=21 || Trans Fat (g): INPUT=0 | UAT=1 || Cholest. (mg): INPUT=425 | UAT=460 || Sodium (mg): INPUT=1710 | UAT=2750 || Carbs (g): INPUT=71 | UAT=135 || Dietary Fiber (g): INPUT=12 | UAT=4 || Sugar (g): INPUT=4 | UAT=25,./output/nutrition-info/screenshots/nutrition/Special_4_Biscuits_and_Gravy_nutrition.png
